decile,predicted,observed,n
1,0.07328536144569661,0.05423585613633394,42016
2,0.009534819864033033,0.0111855360687301,42016
3,0.0021621965467958624,0.002391508842784459,42016
4,0.0008877947490153565,-0.0018597377577012205,42015
5,0.0004858829275060851,0.0005489885526153808,42016
6,0.00028515805979117075,0.0006646950971540039,42016
7,0.00012158596774530621,0.00040763785491964005,42015
8,-6.003546871115182e-05,-0.0007421735480681363,42016
9,-0.0006241113900310755,-0.0003058341599314722,42016
10,-0.016767566772432525,0.010886131716718928,42016
